group,level,student_id,time_index,n_timepoints,gpa,gpa_time_varying,katz_direction,avg_friend_gpa,katz_centrality,in_degree,out_degree
school,high_school,school_72,0,6,3.875,True,outgoing_original_ties,3.8218537414965987,0.08154399872625374,0,14
school,high_school,school_73,0,6,5.0,True,outgoing_original_ties,3.75,0.040865016874583895,18,7
school,high_school,school_74,0,6,3.0,True,outgoing_original_ties,3.4285714285714284,0.016216980955789054,2,1
school,high_school,school_75,0,6,3.6666666666666665,True,outgoing_original_ties,3.4285714285714284,0.017048636362318494,5,1
school,high_school,school_76,0,6,3.25,True,outgoing_original_ties,3.375,0.0482515144999424,0,6
school,high_school,school_77,0,6,4.285714285714286,True,outgoing_original_ties,4.321428571428571,0.038355706588082294,8,6
school,high_school,school_78,0,6,3.375,True,outgoing_original_ties,3.7433862433862433,0.050521258779364545,6,9
school,high_school,school_79,0,6,3.625,True,outgoing_original_ties,3.4583333333333335,0.02430991892681178,12,3
school,high_school,school_80,0,6,3.375,True,outgoing_original_ties,3.125,0.015856168035541025,6,1
school,high_school,school_81,0,6,4.0,True,outgoing_original_ties,4.428571428571428,0.024438578111062696,7,3
school,high_school,school_82,0,6,3.875,True,outgoing_original_ties,4.190476190476191,0.0258463993027035,8,3
school,high_school,school_83,0,6,4.0,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_84,0,6,3.1666666666666665,True,outgoing_original_ties,,0.014292693865292874,1,0
school,high_school,school_85,0,6,3.875,True,outgoing_original_ties,3.890625,0.045502805943990664,0,8
school,high_school,school_86,0,6,3.6666666666666665,True,outgoing_original_ties,3.3333333333333335,0.015966564388362765,0,1
school,high_school,school_87,0,6,3.7142857142857144,True,outgoing_original_ties,3.513888888888889,0.06249819528453611,14,9
school,high_school,school_88,0,6,3.25,True,outgoing_original_ties,,0.014292693865292874,1,0
school,high_school,school_89,0,6,3.125,True,outgoing_original_ties,3.625,0.01951796065274383,2,2
school,high_school,school_90,0,6,4.142857142857143,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_91,0,6,4.333333333333333,True,outgoing_original_ties,,0.014292693865292874,3,0
school,high_school,school_92,0,6,4.333333333333333,True,outgoing_original_ties,4.302380952380952,0.051367061872149136,0,10
school,high_school,school_93,0,6,4.333333333333333,True,outgoing_original_ties,4.111111111111112,0.025690486950753683,4,3
school,high_school,school_94,0,6,4.833333333333333,True,outgoing_original_ties,3.958333333333334,0.023847020136198424,3,4
school,high_school,school_95,0,6,4.142857142857143,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_96,0,6,3.375,True,outgoing_original_ties,3.9145408163265314,0.2136009508502926,4,28
school,high_school,school_97,0,6,4.375,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_98,0,6,4.0,True,outgoing_original_ties,4.136054421768708,0.03677603675094094,0,7
school,high_school,school_99,0,6,3.7142857142857144,True,outgoing_original_ties,3.660714285714286,0.05871137232817555,16,5
school,high_school,school_100,0,6,4.833333333333333,True,outgoing_original_ties,4.013888888888889,0.02359506046906023,0,3
school,high_school,school_101,0,6,4.5,True,outgoing_original_ties,3.908730158730159,0.07868623473087125,0,9
school,high_school,school_102,0,6,4.857142857142857,True,outgoing_original_ties,3.923611111111111,0.03972535543726108,7,6
school,high_school,school_103,0,6,3.375,True,outgoing_original_ties,,0.014292693865292874,1,0
school,high_school,school_104,0,6,4.625,True,outgoing_original_ties,4.125,0.023483970176490752,1,3
school,high_school,school_105,0,6,3.625,True,outgoing_original_ties,3.9583333333333335,0.02095517915805541,9,3
