group,level,student_id,time_index,gpa,avg_friend_gpa,katz_centrality,eigenvector,betweenness,in_degree,out_degree
juniors,university,juniors_257,8,9.4,6.6499999999999995,0.015378692739239991,0.0008252425990073923,0.002707190658376136,8,4
juniors,university,juniors_258,8,6.6,6.894,0.01544367392621955,0.0004731884426186953,0.00047853359162775537,3,5
juniors,university,juniors_259,8,7.2,7.7,0.0299879944293198,0.005452871115452064,0.0,0,8
juniors,university,juniors_260,8,5.6,,0.008883015617422248,7.697901520606264e-83,0.0,0,0
juniors,university,juniors_261,8,4.4,7.6,0.01266379066044667,0.0004423917577015346,0.0,0,2
juniors,university,juniors_262,8,6.6,7.8,0.009997896902607453,4.33103826439457e-06,0.001469766554483811,11,1
juniors,university,juniors_263,8,6.8,6.959999999999999,0.014307432088604771,0.00020313275342051754,0.001122701320725612,6,5
juniors,university,juniors_264,8,8.2,7.5249999999999995,0.02787651245696603,0.005781371657909399,0.002626358133668247,15,8
juniors,university,juniors_265,8,7.4,7.186,0.019343424908241008,0.0010063127680131818,0.0,0,5
juniors,university,juniors_266,8,6.8,7.0,0.011688831111444838,0.00013508177226676104,0.0,3,2
juniors,university,juniors_267,8,6.2,7.656666666666666,0.01421640311295139,0.0007417089035353775,0.0020812412812904997,8,3
juniors,university,juniors_268,8,5.4,6.489999999999999,0.01837405900045245,0.0014105665250811945,0.0,0,3
juniors,university,juniors_269,8,7.2,,0.008883015617422248,7.697901520606264e-83,0.0,2,0
juniors,university,juniors_270,8,8.2,7.766666666666667,0.034800316650810154,0.006784707586860275,0.0012164165618374946,10,12
juniors,university,juniors_271,8,7.0,6.81,0.01275768453078154,0.00014471452484961006,0.0013471319943052602,5,3
juniors,university,juniors_272,8,6.6,7.3,0.01416030238051436,0.0011303500990950857,0.0008411048328575911,4,2
juniors,university,juniors_273,8,7.0,6.2,0.010182967002998512,7.97899443236938e-05,0.0,0,1
juniors,university,juniors_274,8,7.6,7.6,0.011240568259995865,0.00017243088767821351,2.179886121183789e-05,1,2
juniors,university,juniors_275,8,7.0,,0.008883015617422248,7.697901520606264e-83,0.0,12,0
juniors,university,juniors_276,8,8.4,7.8,0.015135695822743461,0.000790002114784704,4.6306020560614024e-07,1,3
